,income,income_index,disparity,capacity,workload,total,actual,actual_avg
58,1.6681005372000591e-06,1,1,0.009540954763499945,1.6681005372000591e-06,52.60521854114112,34.231336334660014,1.0854685544983515e-06
59,1.6681005372000591e-06,1,1,0.012648552168552958,1.6681005372000591e-06,52.60521854114112,35.558643932110364,1.1275572023119724e-06
60,1.6681005372000591e-06,1,1,0.016768329368110083,1.6681005372000591e-06,52.60521854114112,37.17333189010893,1.1787586215787966e-06
61,1.6681005372000591e-06,1,1,0.022229964825261943,1.6681005372000591e-06,52.60521854114112,39.19473612108788,1.2428569292582408e-06
62,1.6681005372000591e-06,1,1,0.029470517025518096,1.6681005372000591e-06,52.60521854114112,41.86464612981355,1.327519220250303e-06
63,1.6681005372000591e-06,1,1,0.03906939937054617,1.6681005372000591e-06,52.60521854114112,45.96559790409572,1.4575595479482408e-06
64,1.6681005372000591e-06,1,1,0.0517947467923121,1.6681005372000591e-06,52.60521854114112,52.56918590143373,1.6669579496903136e-06
65,1.6681005372000591e-06,1,1,0.06866488450043001,1.6681005372000591e-06,52.60521854114112,52.56918590143373,1.6669579496903136e-06
66,1.6681005372000591e-06,1,1,0.09102981779915217,1.6681005372000591e-06,52.60521854114112,52.56918590143373,1.6669579496903136e-06
67,1.6681005372000591e-06,1,1,0.1206792640639329,1.6681005372000591e-06,52.60521854114112,52.56918590143373,1.6669579496903136e-06
68,1.6681005372000591e-06,1,1,0.15998587196060574,1.6681005372000591e-06,52.60521854114112,52.56918590143373,1.6669579496903136e-06
69,1.6681005372000591e-06,1,1,0.21209508879201905,1.6681005372000591e-06,52.60521854114112,52.56918590143373,1.6669579496903136e-06
70,1.6681005372000591e-06,1,1,0.28117686979742307,1.6681005372000591e-06,52.60521854114112,52.56918590143373,1.6669579496903136e-06
71,1.6681005372000591e-06,1,1,0.3727593720314938,1.6681005372000591e-06,52.60521854114112,52.56918590143373,1.6669579496903136e-06
72,1.6681005372000591e-06,1,1,0.49417133613238334,1.6681005372000591e-06,52.60521854114112,52.56918590143373,1.6669579496903136e-06
73,1.6681005372000591e-06,1,1,0.655128556859551,1.6681005372000591e-06,52.60521854114112,52.56918590143373,1.6669579496903136e-06
74,1.6681005372000591e-06,1,1,0.868511373751352,1.6681005372000591e-06,52.60521854114112,52.56918590143373,1.6669579496903136e-06
75,1.6681005372000591e-06,1,1,1.151395399326447,1.6681005372000591e-06,52.60521854114112,52.56918590143373,1.6669579496903136e-06
76,1.6681005372000591e-06,1,1,1.5264179671752334,1.6681005372000591e-06,52.60521854114112,52.56918590143373,1.6669579496903136e-06
77,1.6681005372000591e-06,1,1,2.023589647725158,1.6681005372000591e-06,52.60521854114112,52.56918590143373,1.6669579496903136e-06
78,1.6681005372000591e-06,1,1,2.6826957952797246,1.6681005372000591e-06,52.60521854114112,52.56918590143373,1.6669579496903136e-06
79,1.6681005372000591e-06,1,1,3.5564803062231287,1.6681005372000591e-06,52.60521854114112,52.56918590143373,1.6669579496903136e-06
80,1.6681005372000591e-06,1,1,4.714866363457395,1.6681005372000591e-06,52.60521854114112,52.56918590143373,1.6669579496903136e-06
81,1.6681005372000591e-06,1,1,6.25055192527397,1.6681005372000591e-06,52.60521854114112,52.56918590143373,1.6669579496903136e-06
82,1.6681005372000591e-06,1,1,8.286427728546842,1.6681005372000591e-06,52.60521854114112,52.56918590143373,1.6669579496903136e-06
83,1.6681005372000591e-06,1,1,10.985411419875572,1.6681005372000591e-06,52.60521854114112,52.56918590143373,1.6669579496903136e-06
