,Unnamed: 0,income,income_index,disparity,capacity,workload,total,actual,actual_avg,type
56,56,1.6681005372000591e-06,1,1,0.0054286754393238,1.6681005372000591e-06,52.60521854114099,23.000340697297773,7.293360190670273e-07,season
57,57,1.6681005372000591e-06,1,1,0.0071968567300115,1.6681005372000591e-06,52.60521854114099,23.546028094132517,7.46639652908819e-07,season
58,58,1.6681005372000591e-06,1,1,0.0095409547634999,1.6681005372000591e-06,52.60521854114099,24.18589144299596,7.669295865993137e-07,season
59,59,1.6681005372000591e-06,1,1,0.0126485521685529,1.6681005372000591e-06,52.60521854114099,24.945314229762666,7.910107251954167e-07,season
60,60,1.6681005372000591e-06,1,1,0.01676832936811,1.6681005372000591e-06,52.60521854114099,25.86688472924789,8.202335340324673e-07,season
61,61,1.6681005372000591e-06,1,1,0.0222299648252619,1.6681005372000591e-06,52.60521854114099,27.0376844618956,8.573593500093734e-07,season
62,62,1.6681005372000591e-06,1,1,0.029470517025518,1.6681005372000591e-06,52.60521854114099,28.75031494293606,9.116665063082212e-07,season
63,63,1.6681005372000591e-06,1,1,0.0390693993705461,1.6681005372000591e-06,52.60521854114099,31.05066395004705,9.846100948137698e-07,season
64,64,1.6681005372000591e-06,1,1,0.0517947467923121,1.6681005372000591e-06,52.60521854114099,31.52375727960335,9.996117858829067e-07,season
65,65,1.6681005372000591e-06,1,1,0.06866488450043,1.6681005372000591e-06,52.60521854114099,31.564525656732517,1.0009045426411885e-06,season
66,66,1.6681005372000591e-06,1,1,0.0910298177991521,1.6681005372000591e-06,52.60521854114099,31.61134256640956,1.00238909710837e-06,season
67,67,1.6681005372000591e-06,1,1,0.1206792640639329,1.6681005372000591e-06,52.60521854114099,31.6686968671801,1.0042077900551782e-06,season
68,68,1.6681005372000591e-06,1,1,0.1599858719606057,1.6681005372000591e-06,52.60521854114099,31.737928043775508,1.00640309626381e-06,season
69,69,1.6681005372000591e-06,1,1,0.212095088792019,1.6681005372000591e-06,52.60521854114099,31.81756816772304,1.0089284680277474e-06,season
70,70,1.6681005372000591e-06,1,1,0.281176869797423,1.6681005372000591e-06,52.60521854114099,31.9229170571499,1.0122690593971936e-06,season
71,71,1.6681005372000591e-06,1,1,0.3727593720314938,1.6681005372000591e-06,52.60521854114099,32.04974274099321,1.0162906754500638e-06,season
72,72,1.6681005372000591e-06,1,1,0.4941713361323833,1.6681005372000591e-06,52.60521854114099,32.227111871113664,1.0219150136705249e-06,season
73,73,1.6681005372000591e-06,1,1,0.655128556859551,1.6681005372000591e-06,52.60521854114099,32.454737534218886,1.0291329760977578e-06,season
74,74,1.6681005372000591e-06,1,1,0.868511373751352,1.6681005372000591e-06,52.60521854114099,32.781908764982056,1.03950750776833e-06,season
75,75,1.6681005372000591e-06,1,1,1.151395399326447,1.6681005372000591e-06,52.60521854114099,33.246307954538494,1.0542335094665935e-06,season
76,76,1.6681005372000591e-06,1,1,1.5264179671752334,1.6681005372000591e-06,52.60521854114099,33.95415140459445,1.076679078024938e-06,season
77,77,1.6681005372000591e-06,1,1,2.023589647725158,1.6681005372000591e-06,52.60521854114099,34.760813130474126,1.1022581535538473e-06,season
78,78,1.6681005372000591e-06,1,1,2.682695795279725,1.6681005372000591e-06,52.60521854114099,35.70927841492062,1.1323337904274676e-06,season
79,79,1.6681005372000591e-06,1,1,3.5564803062231287,1.6681005372000591e-06,52.60521854114099,36.843086350055394,1.168286604200133e-06,season
80,80,1.6681005372000591e-06,1,1,4.714866363457395,1.6681005372000591e-06,52.60521854114099,38.18786229633091,1.2109291697213e-06,season
81,81,1.6681005372000591e-06,1,1,6.25055192527397,1.6681005372000591e-06,52.60521854114099,39.83283962388415,1.263091058596022e-06,season
82,82,1.6681005372000591e-06,1,1,8.286427728546842,1.6681005372000591e-06,52.60521854114099,41.89212808616333,1.3283906673694614e-06,season
83,83,1.6681005372000591e-06,1,1,10.985411419875572,1.6681005372000591e-06,52.60521854114099,44.63414841301146,1.4153395615490697e-06,season
84,84,1.6681005372000591e-06,1,1,14.563484775012444,1.6681005372000591e-06,52.60521854114099,48.94132078430565,1.5519191014810265e-06,season
85,85,1.6681005372000591e-06,1,1,19.306977288832496,1.6681005372000591e-06,52.60521854114099,52.569284319365416,1.6669610705024548e-06,season
86,86,1.6681005372000591e-06,1,1,25.595479226995334,1.6681005372000591e-06,52.60521854114099,52.569284319365416,1.6669610705024548e-06,season
87,87,1.6681005372000591e-06,1,1,33.9322177189533,1.6681005372000591e-06,52.60521854114099,52.569284319365416,1.6669610705024548e-06,season
88,88,1.6681005372000591e-06,1,1,44.98432668969444,1.6681005372000591e-06,52.60521854114099,52.569284319365416,1.6669610705024548e-06,season
89,89,1.6681005372000591e-06,1,1,59.636233165946365,1.6681005372000591e-06,52.60521854114099,52.569284319365416,1.6669610705024548e-06,season
90,90,1.6681005372000591e-06,1,1,79.06043210907701,1.6681005372000591e-06,52.60521854114099,52.569284319365416,1.6669610705024548e-06,season
