#time,"""value"" from seq_no"
2018-03-31T20:35:48.109Z,134696
2018-03-31T20:35:48.121Z,134696
2018-03-31T20:35:53.751Z,134697
2018-03-31T20:35:53.753Z,134697
2018-03-31T20:35:59.351Z,134698
2018-03-31T20:35:59.385Z,134698
2018-03-31T20:35:59.387Z,134698
2018-03-31T20:35:59.391Z,134698
2018-03-31T20:36:05.171Z,134699
2018-03-31T20:36:05.174Z,134699
2018-03-31T20:36:10.907Z,134700
2018-03-31T20:36:10.911Z,134700
2018-03-31T20:36:10.945Z,134700
2018-03-31T20:36:10.949Z,134700
2018-03-31T20:36:16.721Z,134701
2018-03-31T20:36:16.723Z,134701
2018-03-31T20:36:16.769Z,134701
2018-03-31T20:36:22.48Z,134702
2018-03-31T20:36:22.515Z,134702
2018-03-31T20:36:28.174Z,134703
2018-03-31T20:36:28.176Z,134703
2018-03-31T20:36:28.21Z,134703
2018-03-31T20:36:33.923Z,134704
2018-03-31T20:36:33.923Z,134704
2018-03-31T20:36:33.955Z,134704
2018-03-31T20:36:33.957Z,134704
2018-03-31T20:36:39.704Z,134705
2018-03-31T20:36:39.707Z,134705
2018-03-31T20:36:45.507Z,134706
2018-03-31T20:36:51.306Z,134707
2018-03-31T20:36:51.31Z,134707
2018-03-31T20:36:51.341Z,134707
2018-03-31T20:36:57.139Z,134708
2018-03-31T20:36:57.142Z,134708
2018-03-31T20:37:02.938Z,134709
2018-03-31T20:37:08.624Z,134710
2018-03-31T20:37:14.412Z,134711
2018-03-31T20:37:14.414Z,134711
2018-03-31T20:37:14.457Z,134711
2018-03-31T20:37:20.302Z,134712
2018-03-31T20:37:20.304Z,134712
2018-03-31T20:37:25.978Z,134713
2018-03-31T20:37:26.012Z,134713
2018-03-31T20:37:26.014Z,134713
2018-03-31T20:37:31.872Z,134714
2018-03-31T20:37:31.907Z,134714
2018-03-31T20:37:31.916Z,134714
2018-03-31T20:37:37.795Z,134715
2018-03-31T20:37:43.695Z,134716
2018-03-31T20:37:43.705Z,134716
2018-03-31T20:37:49.62Z,134717
2018-03-31T20:37:49.624Z,134717
2018-03-31T20:37:55.47Z,134718
2018-03-31T20:38:13.175Z,134721
2018-03-31T20:38:13.177Z,134721
2018-03-31T20:38:19.18Z,134722
2018-03-31T20:38:25.139Z,134723
2018-03-31T20:38:25.144Z,134723
2018-03-31T20:38:31.152Z,134724
2018-03-31T20:38:31.185Z,134724
2018-03-31T20:38:31.187Z,134724
2018-03-31T20:38:37.184Z,134725
2018-03-31T20:38:37.187Z,134725
2018-03-31T20:38:37.219Z,134725
2018-03-31T20:38:37.223Z,134725
2018-03-31T20:38:43.099Z,134726
2018-03-31T20:38:43.106Z,134726
2018-03-31T20:38:48.928Z,134727
2018-03-31T20:38:48.932Z,134727
2018-03-31T20:38:54.955Z,134728
2018-03-31T20:38:54.958Z,134728
2018-03-31T20:38:54.994Z,134728
2018-03-31T20:39:01.054Z,134729
2018-03-31T20:39:01.056Z,134729
2018-03-31T20:39:06.956Z,134730
2018-03-31T20:39:06.959Z,134730
2018-03-31T20:39:06.995Z,134730
2018-03-31T20:39:13.068Z,134731
2018-03-31T20:39:19.138Z,134732
2018-03-31T20:39:19.143Z,134732
2018-03-31T20:39:25.02Z,134733
2018-03-31T20:39:25.025Z,134733
2018-03-31T20:39:25.06Z,134733
2018-03-31T20:39:31.068Z,134734
2018-03-31T20:39:31.073Z,134734
2018-03-31T20:39:31.105Z,134734
2018-03-31T20:39:31.107Z,134734
2018-03-31T20:39:37.196Z,134735
2018-03-31T20:39:37.199Z,134735
2018-03-31T20:39:43.337Z,134736
2018-03-31T20:39:43.339Z,134736
2018-03-31T20:39:49.549Z,134737
2018-03-31T20:39:49.553Z,134737
2018-03-31T20:39:55.705Z,134738
2018-03-31T20:40:01.674Z,134739
2018-03-31T20:40:01.678Z,134739
2018-03-31T20:40:01.721Z,134739
2018-03-31T20:40:01.753Z,134739
2018-03-31T20:40:07.784Z,134740
2018-03-31T20:40:07.817Z,134740
2018-03-31T20:40:07.819Z,134740
2018-03-31T20:40:13.884Z,134741
2018-03-31T20:40:13.885Z,134741
2018-03-31T20:40:19.922Z,134742
2018-03-31T20:40:26.001Z,134743
2018-03-31T20:40:32.222Z,134744
2018-03-31T20:40:38.485Z,134745
2018-03-31T20:40:38.52Z,134745
2018-03-31T20:40:44.606Z,134746
2018-03-31T20:40:50.87Z,134747
2018-03-31T20:40:50.907Z,134747
2018-03-31T20:40:57.13Z,134748
2018-03-31T20:40:57.163Z,134748
2018-03-31T20:41:03.354Z,134749
2018-03-31T20:41:03.389Z,134749
2018-03-31T20:41:09.608Z,134750
2018-03-31T20:41:15.73Z,134751
2018-03-31T20:41:21.98Z,134752
2018-03-31T20:41:22.016Z,134752
2018-03-31T20:41:28.171Z,134753
2018-03-31T20:41:28.173Z,134753
2018-03-31T20:41:40.614Z,134755
2018-03-31T20:41:40.64Z,134755
2018-03-31T20:41:40.78Z,134755
2018-03-31T20:41:46.863Z,134756
2018-03-31T20:41:46.866Z,134756
2018-03-31T20:41:53.192Z,134757
2018-03-31T20:41:53.197Z,134757
2018-03-31T20:41:59.396Z,134758
2018-03-31T20:42:05.535Z,134759
2018-03-31T20:42:05.537Z,134759
2018-03-31T20:42:05.57Z,134759
2018-03-31T20:42:11.808Z,134760
2018-03-31T20:42:11.826Z,134760
2018-03-31T20:42:11.847Z,134760
2018-03-31T20:42:24.165Z,134762
2018-03-31T20:42:30.375Z,134763
2018-03-31T20:42:36.427Z,134764
2018-03-31T20:42:36.462Z,134764
2018-03-31T20:42:42.597Z,134765
2018-03-31T20:42:48.59Z,134766
2018-03-31T20:42:48.595Z,134766
2018-03-31T20:42:48.635Z,134766
2018-03-31T20:42:54.751Z,134767
2018-03-31T20:43:00.767Z,134768
2018-03-31T20:43:00.77Z,134768
2018-03-31T20:43:00.805Z,134768
2018-03-31T20:43:07.009Z,134769
2018-03-31T20:43:07.012Z,134769
2018-03-31T20:43:13.198Z,134770
2018-03-31T20:43:13.199Z,134770
2018-03-31T20:43:13.233Z,134770
2018-03-31T20:43:19.497Z,134771
2018-03-31T20:43:19.508Z,134771
2018-03-31T20:43:25.515Z,134772
2018-03-31T20:43:25.548Z,134772
2018-03-31T20:43:25.55Z,134772
2018-03-31T20:43:31.798Z,134773
2018-03-31T20:43:31.802Z,134773
2018-03-31T20:43:31.835Z,134773
2018-03-31T20:43:38.068Z,134774
2018-03-31T20:43:38.101Z,134774
2018-03-31T20:43:44.251Z,134775
2018-03-31T20:43:50.371Z,134776
2018-03-31T20:43:50.403Z,134776
2018-03-31T20:43:56.601Z,134777
2018-03-31T20:44:02.906Z,134778
2018-03-31T20:44:02.909Z,134778
2018-03-31T20:44:02.945Z,134778
2018-03-31T20:44:09.177Z,134779
2018-03-31T20:44:09.181Z,134779
2018-03-31T20:44:09.235Z,134779
2018-03-31T20:44:15.393Z,134780
2018-03-31T20:44:15.394Z,134780
2018-03-31T20:44:27.828Z,134782
2018-03-31T20:44:27.831Z,134782
2018-03-31T20:44:33.932Z,134783
2018-03-31T20:44:33.937Z,134783
2018-03-31T20:44:40.077Z,134784
2018-03-31T20:44:40.08Z,134784
2018-03-31T20:44:40.113Z,134784
2018-03-31T20:44:46.473Z,134785
2018-03-31T20:44:46.503Z,134785
2018-03-31T20:44:52.779Z,134786
2018-03-31T20:44:59.051Z,134787
2018-03-31T20:44:59.054Z,134787
2018-03-31T20:45:05.441Z,134788
2018-03-31T20:45:11.569Z,134789
2018-03-31T20:45:17.792Z,134790
2018-03-31T20:45:17.794Z,134790
2018-03-31T20:45:24.074Z,134791
2018-03-31T20:45:24.107Z,134791
2018-03-31T20:45:30.191Z,134792
2018-03-31T20:45:30.192Z,134792
2018-03-31T20:45:36.374Z,134793
2018-03-31T20:45:42.55Z,134794
2018-03-31T20:45:48.619Z,134795
2018-03-31T20:45:48.652Z,134795
2018-03-31T20:45:48.655Z,134795
2018-03-31T20:45:54.745Z,134796
2018-03-31T20:45:54.748Z,134796
2018-03-31T20:45:54.781Z,134796
2018-03-31T20:45:54.783Z,134796
2018-03-31T20:46:00.971Z,134797
2018-03-31T20:46:07.114Z,134798
2018-03-31T20:46:07.154Z,134798
2018-03-31T20:46:13.282Z,134799
2018-03-31T20:46:13.285Z,134799
2018-03-31T20:46:19.463Z,134800
2018-03-31T20:46:25.637Z,134801
2018-03-31T20:46:25.67Z,134801
2018-03-31T20:46:25.672Z,134801
2018-03-31T20:46:31.687Z,134802
2018-03-31T20:46:31.696Z,134802
